Track,Freq,Hot
"陕西,咸阳(提货)->宁夏,吴忠(卸货)",4,0.0777756954600667
"陕西,咸阳(提货)->广东,惠州(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->新疆,乌鲁木齐(卸货)->甘肃,张掖(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->陕西,西安(卸货)->陕西,商洛(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->陕西,西安(卸货)->青海,西宁(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->山西,晋城(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->陕西,西安(卸货)->宁夏,银川(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->新疆,哈密(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->湖南,岳阳(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->山西,太原(卸货)->山西,晋中(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->甘肃,庆阳(卸货)->宁夏,银川(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->宁夏,银川(卸货)->宁夏,中卫(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->新疆,昌吉(卸货)->新疆,乌鲁木齐(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->甘肃,兰州(卸货)->甘肃,白银(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->新疆,和田(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->河南,郑州(卸货)->河南,三门峡(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->河南,开封(卸货)->河南,郑州(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->新疆,乌鲁木齐(卸货)->新疆,昌吉(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->新疆,博尔塔拉(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->甘肃,定西(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->山西,吕梁(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->陕西,咸阳(卸货)->陕西,宝鸡(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->陕西,西安(卸货)->甘肃,陇南(卸货)",3,0.06320369869234245
"陕西,咸阳(提货)->河南,三门峡(卸货)->河南,洛阳(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->山西,晋城(卸货)->山西,长治(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->陕西,宝鸡(卸货)->陕西,西安(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->西藏,林芝(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,郑州(卸货)->河南,平顶山(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,许昌(卸货)->河南,郑州(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->青海,海东(卸货)->青海,西宁(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->甘肃,平凉(卸货)->甘肃,兰州(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->甘肃,武威(卸货)->甘肃,兰州(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,三门峡(卸货)->河南,郑州(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->青海,玉树(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,商丘(卸货)->河南,郑州(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->宁夏,中卫(卸货)->宁夏,银川(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,新乡(卸货)->河南,安阳(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,洛阳(卸货)->河南,三门峡(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->陕西,西安(卸货)->河南,郑州(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->甘肃,武威(卸货)->宁夏,中卫(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->宁夏,中卫(卸货)->宁夏,固原(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->甘肃,平凉(卸货)->宁夏,固原(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->陕西,宝鸡(卸货)->甘肃,天水(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->甘肃,张掖(卸货)->新疆,乌鲁木齐(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,郑州(卸货)->河南,济源(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->西藏,拉萨(卸货)->西藏,林芝(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,郑州(卸货)->河南,南阳(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->湖北,襄阳(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,濮阳(卸货)->河南,鹤壁(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->山西,大同(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->新疆,哈密(卸货)->新疆,乌鲁木齐(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->宁夏,吴忠(卸货)->宁夏,银川(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->陕西,宝鸡(卸货)->陕西,咸阳(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,郑州(卸货)->河南,许昌(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->宁夏,固原(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->陕西,西安(卸货)->宁夏,固原(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,新乡(卸货)->河南,郑州(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->宁夏,银川(卸货)->甘肃,庆阳(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->河南,焦作(卸货)->河南,郑州(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->新疆,乌鲁木齐(卸货)->新疆,克拉玛依(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->青海,海西(卸货)",2,0.048163806700906926
"陕西,咸阳(提货)->山西,晋中(卸货)->山西,晋城(卸货)->山西,阳泉(卸货)->山西,长治(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->河南,商丘(卸货)->河南,驻马店(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->新疆,巴音郭楞(卸货)->新疆,伊犁(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->青海,海西(卸货)->西藏,拉萨(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->河南,许昌(卸货)->河南,平顶山(卸货)->河南,漯河(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->甘肃,天水(卸货)->甘肃,陇南(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->山西,太原(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->甘肃,兰州(卸货)->甘肃,张掖(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->青海,西宁(卸货)->甘肃,兰州(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->甘肃,张掖(卸货)->甘肃,金昌(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->江苏,常州(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->河南,郑州(卸货)->河南,三门峡(卸货)->河南,开封(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->河南,平顶山(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->甘肃,兰州(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->青海,海西(卸货)->青海,西宁(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->河南,濮阳(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->陕西,铜川(卸货)->宁夏,银川(卸货)->宁夏,固原(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->甘肃,金昌(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,汉中(卸货)->河南,商丘(卸货)->河南,郑州(卸货)->河南,新乡(卸货)->河南,洛阳(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->宁夏,固原(卸货)->甘肃,庆阳(卸货)->宁夏,银川(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->河南,安阳(卸货)->河南,洛阳(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->甘肃,张掖(卸货)->甘肃,武威(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->宁夏,吴忠(卸货)->甘肃,庆阳(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->新疆,克拉玛依(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->新疆,克拉玛依(卸货)->新疆,乌鲁木齐(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->河南,郑州(卸货)->河南,洛阳(卸货)->河南,焦作(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->河南,郑州(卸货)->河南,焦作(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,安康(卸货)->陕西,西安(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->新疆,乌鲁木齐(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->陕西,咸阳(卸货)->甘肃,兰州(卸货)->陕西,宝鸡(卸货)->河南,许昌(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,汉中(卸货)->陕西,西安(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->新疆,乌鲁木齐(卸货)->新疆,哈密(卸货)->新疆,巴音郭楞(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,西安(卸货)->陕西,渭南(卸货)->陕西,商洛(卸货)->河南,安阳(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,咸阳(卸货)->甘肃,陇南(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->甘肃,酒泉(卸货)->甘肃,嘉峪关(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->甘肃,武威(卸货)->甘肃,酒泉(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,咸阳(卸货)->陕西,西安(卸货)->青海,西宁(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->西藏,山南(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->河南,焦作(卸货)->河南,洛阳(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->河南,郑州(卸货)->河南,濮阳(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->山西,晋中(卸货)->山西,忻州(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->青海,西宁(卸货)->陕西,西安(卸货)->陕西,榆林(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->山东,烟台(卸货)->山东,青岛(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->陕西,商洛(卸货)->甘肃,白银(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->新疆,喀什(卸货)->新疆,乌鲁木齐(卸货)->新疆,伊犁(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->宁夏,中卫(卸货)->陕西,渭南(卸货)->陕西,安康(卸货)->陕西,延安(卸货)",1,0.0326331161669761
"陕西,咸阳(提货)->河南,焦作(卸货)->河南,三门峡(卸货)",1,0.0326331161669761
